numeropol,debut_pol,fin_pol,freq_paiement,langue,type_prof,alimentation,type_territoire,utilisation,presence_alarme,annee_veh,marque_voiture,sexe,date_naissance,couleur_voiture,annee_permis,myopie,cheveux,cout1,cout2,cout3,cout4,cout5,cout6,cout7,nbsin,equipe
15,6-1-1999,5-1-2000,12,F,Technicien,Végétarien,Urbain,Travail-occasionnel,0,1994,VOLKSWAGEN,M,3-8-1960,Autre,1978,Y,Bruns,192.0931677,,,,,,,1,3
15,6-1-2000,16-4-2000,12,F,Technicien,Carnivore,Urbain,Travail-occasionnel,0,1994,VOLKSWAGEN,M,3-8-1960,Autre,1978,Y,Blonds,,,,,,,,0,3
15,17-4-2000,5-1-2001,12,F,Technicien,Carnivore,Urbain,Travail-occasionnel,0,2000,VOLKSWAGEN,M,3-8-1960,Autre,1978,Y,Bruns,,,,,,,,0,3
15,6-1-2001,5-1-2002,12,F,Technicien,Carnivore,Urbain,Travail-occasionnel,0,2000,VOLKSWAGEN,M,3-8-1960,Autre,1978,Y,Blonds,1590.652174,,,,,,,1,3
15,6-1-2002,6-8-2002,12,F,Technicien,Carnivore,Urbain,Travail-occasionnel,0,2000,VOLKSWAGEN,M,3-8-1960,Autre,1978,Y,Bruns,,,,,,,,0,3
15,7-8-2002,1-12-2002,12,F,Technicien,Carnivore,Urbain,Travail-occasionnel,0,2000,VOLKSWAGEN,M,3-8-1960,Autre,1978,Y,Blonds,,,,,,,,0,3
15,2-12-2002,5-1-2003,12,F,Technicien,Carnivore,Urbain,Travail-occasionnel,0,2000,VOLKSWAGEN,M,3-8-1960,Autre,1978,Y,Bruns,,,,,,,,0,3
15,6-1-2003,5-1-2004,12,F,Technicien,Carnivore,Urbain,Travail-occasionnel,0,2000,VOLKSWAGEN,M,3-8-1960,Autre,1978,Y,Blonds,,,,,,,,0,3
23,1-2-1995,8-2-1995,12,F,Médecin,Carnivore,Semi-urbain,Travail-quotidien,1,1992,NISSAN,M,4-10-1936,Autre,1967,Y,Bruns,,,,,,,,0,3
23,1-2-1996,12-12-1996,12,F,Médecin,Carnivore,Semi-urbain,Travail-quotidien,1,1992,NISSAN,M,4-10-1936,Autre,1967,Y,Bruns,,,,,,,,0,3
23,13-12-1996,31-1-1997,12,F,Médecin,Carnivore,Semi-urbain,Travail-quotidien,0,1997,NISSAN,M,4-10-1936,Autre,1967,Y,Bruns,,,,,,,,0,3
23,1-2-1997,31-1-1998,12,F,Médecin,Carnivore,Semi-urbain,Travail-quotidien,0,1997,NISSAN,M,4-10-1936,Autre,1967,Y,Bruns,,,,,,,,0,3
23,1-2-1998,31-1-1999,12,F,Médecin,Carnivore,Semi-urbain,Travail-quotidien,0,1997,NISSAN,M,4-10-1936,Autre,1967,Y,Blonds,,,,,,,,0,3
31,1-1-1999,31-12-1999,1,F,Hockeyeur,Végétarien,Semi-urbain,Travail-quotidien,1,1997,RENAULT,F,8-9-1965,Autre,1975,Y,Bruns,,,,,,,,0,3
31,1-1-2001,31-12-2001,1,F,Hockeyeur,Carnivore,Semi-urbain,Travail-quotidien,1,1997,RENAULT,F,8-9-1965,Autre,1975,Y,Blonds,,,,,,,,0,3
31,1-1-2002,29-9-2002,1,F,Hockeyeur,Carnivore,Semi-urbain,Travail-quotidien,1,1997,RENAULT,F,8-9-1965,Autre,1975,Y,Bruns,,,,,,,,0,3
31,30-9-2002,31-12-2002,1,F,Hockeyeur,Carnivore,Semi-urbain,Travail-quotidien,1,1997,RENAULT,F,8-9-1965,Autre,1975,Y,Bruns,,,,,,,,0,3
62,23-9-1995,22-9-1996,1,F,Infirmière,Carnivore,Semi-urbain,Travail-quotidien,0,1994,VOLKSWAGEN,M,14-6-1946,Autre,1967,N,Bruns,,,,,,,,0,3
62,23-9-1996,22-9-1997,1,F,Infirmière,Carnivore,Semi-urbain,Travail-quotidien,0,1994,VOLKSWAGEN,M,14-6-1946,Autre,1967,N,Blonds,,,,,,,,0,3
62,23-9-1997,22-9-1998,1,F,Infirmière,Carnivore,Semi-urbain,Travail-quotidien,0,1994,VOLKSWAGEN,M,14-6-1946,Autre,1967,N,Bruns,,,,,,,,0,3
62,23-9-1998,22-9-1999,1,F,Infirmière,Carnivore,Semi-urbain,Travail-quotidien,0,1994,VOLKSWAGEN,M,14-6-1946,Autre,1967,N,Bruns,1339.484472,,,,,,,1,3
62,23-9-1999,22-9-2000,1,F,Infirmière,Végétarien,Semi-urbain,Travail-quotidien,0,1994,VOLKSWAGEN,M,14-6-1946,Autre,1967,N,Bruns,,,,,,,,0,3
62,23-9-2000,22-9-2001,1,F,Infirmière,Carnivore,Semi-urbain,Travail-quotidien,0,1994,VOLKSWAGEN,M,14-6-1946,Autre,1967,N,Bruns,,,,,,,,0,3
62,23-9-2001,22-9-2002,1,F,Infirmière,Carnivore,Semi-urbain,Travail-quotidien,0,1994,VOLKSWAGEN,M,14-6-1946,Autre,1967,N,Bruns,,,,,,,,0,3
62,23-9-2002,22-9-2003,1,F,Infirmière,Carnivore,Semi-urbain,Travail-quotidien,0,1994,VOLKSWAGEN,M,14-6-1946,Autre,1967,N,Bruns,,,,,,,,0,3
71,15-2-1995,23-3-1995,1,F,Médecin,Carnivore,Semi-urbain,Travail-quotidien,1,1993,TOYOTA,M,16-9-1944,Autre,1971,Y,Bruns,,,,,,,,0,3
71,24-3-1995,30-5-1995,1,F,Médecin,Carnivore,Semi-urbain,Travail-quotidien,1,1995,TOYOTA,M,16-9-1944,Autre,1971,Y,Bruns,603.7204969,,,,,,,1,3
71,31-5-1995,3-8-1995,1,F,Médecin,Carnivore,Semi-urbain,Travail-quotidien,1,1995,TOYOTA,M,16-9-1944,Autre,1971,Y,Blonds,4127.689441,,,,,,,1,3
71,4-8-1995,14-2-1996,1,F,Médecin,Carnivore,Semi-urbain,Travail-quotidien,0,1995,TOYOTA,M,16-9-1944,Autre,1971,Y,Blonds,,,,,,,,0,3
71,15-2-1996,14-2-1997,1,F,Médecin,Carnivore,Semi-urbain,Travail-quotidien,0,1995,TOYOTA,M,16-9-1944,Autre,1971,Y,Bruns,2227.900621,2001.627329,,,,,,2,3
71,15-2-1997,14-2-1998,1,F,Médecin,Carnivore,Semi-urbain,Travail-quotidien,0,1995,TOYOTA,M,16-9-1944,Autre,1971,Y,Bruns,,,,,,,,0,3
71,15-2-1998,27-5-1998,1,F,Médecin,Végétarien,Semi-urbain,Travail-quotidien,0,1995,TOYOTA,M,16-9-1944,Autre,1971,Y,Bruns,345.5900621,,,,,,,1,3
71,28-5-1998,14-2-1999,1,F,Médecin,Végétarien,Semi-urbain,Travail-quotidien,0,1995,TOYOTA,M,16-9-1944,Autre,1971,Y,Bruns,,,,,,,,0,3
74,9-10-1997,30-9-1998,12,F,Technicien,Carnivore,Rural,Travail-quotidien,0,1991,MERCEDES-BENZ,M,15-4-1944,Autre,1975,Y,Bruns,,,,,,,,0,3
74,1-3-2000,30-9-2000,12,F,Technicien,Végétarien,Rural,Travail-quotidien,0,1991,MERCEDES-BENZ,M,15-4-1944,Autre,1975,Y,Bruns,,,,,,,,0,3
74,1-10-2000,28-6-2001,12,F,Technicien,Carnivore,Rural,Travail-quotidien,0,1991,MERCEDES-BENZ,M,15-4-1944,Autre,1975,Y,Bruns,,,,,,,,0,3
74,29-6-2001,30-9-2001,12,F,Technicien,Carnivore,Rural,Travail-quotidien,0,1991,MERCEDES-BENZ,M,15-4-1944,Autre,1975,Y,Bruns,,,,,,,,0,3
75,15-8-1995,30-9-1995,12,F,Hockeyeur,Végétarien,Rural,Travail-occasionnel,0,1990,FORD,F,4-5-1943,Autre,1975,Y,Bruns,,,,,,,,0,3
75,31-7-1996,14-8-1996,12,F,Hockeyeur,Végétarien,Rural,Travail-occasionnel,0,1990,FORD,F,4-5-1943,Autre,1965,Y,Bruns,473.2795031,,,,,,,1,3
75,15-8-1996,11-9-1996,12,F,Hockeyeur,Végétarien,Rural,Travail-occasionnel,0,1990,FORD,F,4-5-1943,Autre,1965,Y,Bruns,,,,,,,,0,3
75,23-11-1996,14-8-1997,12,F,Hockeyeur,Végétarien,Rural,Travail-occasionnel,0,1990,FORD,F,4-5-1943,Autre,1965,Y,Bruns,,,,,,,,0,3
75,15-8-1997,14-8-1998,12,F,Hockeyeur,Végétarien,Rural,Travail-occasionnel,0,1990,FORD,F,4-5-1943,Autre,1965,Y,Bruns,,,,,,,,0,3
75,15-8-1998,6-9-1998,12,F,Hockeyeur,Végétarien,Rural,Travail-occasionnel,0,1990,FORD,F,4-5-1943,Autre,1965,Y,Bruns,,,,,,,,0,3
79,20-11-1997,21-6-1998,12,F,Ingénieur,Végétalien,Rural,Travail-quotidien,0,1985,AUDI,M,5-10-1952,Autre,1980,Y,Bruns,12.01242236,927.6273292,,,,,,2,3
79,22-6-1998,4-8-1998,12,F,Ingénieur,Végétalien,Rural,Travail-quotidien,1,1987,GM,M,5-10-1952,Autre,1980,Y,Bruns,,,,,,,,0,3
79,5-8-1998,19-11-1998,12,F,Ingénieur,Végétalien,Rural,Travail-quotidien,1,1987,GM,M,5-10-1952,Autre,1980,Y,Bruns,,,,,,,,0,3
79,20-11-1998,23-2-1999,12,F,Ingénieur,Végétarien,Rural,Travail-quotidien,1,1987,GM,M,5-10-1952,Autre,1980,Y,Bruns,,,,,,,,0,3
81,30-5-2000,29-5-2001,12,F,Technicien,Carnivore,Rural,Travail-quotidien,0,1997,GM,M,10-2-1953,Autre,1971,Y,Bruns,,,,,,,,0,3
81,30-5-2001,31-1-2002,12,F,Technicien,Carnivore,Rural,Travail-quotidien,0,1997,GM,M,10-2-1953,Autre,1971,Y,Bruns,2518.968944,,,,,,,1,3
81,18-3-2002,29-5-2002,12,F,Technicien,Carnivore,Rural,Travail-quotidien,0,2002,ALFA ROMEO,M,10-2-1953,Autre,1971,Y,Blonds,,,,,,,,0,3
81,30-5-2002,29-5-2003,12,F,Technicien,Carnivore,Rural,Travail-quotidien,0,2002,ALFA ROMEO,M,10-2-1953,Autre,1971,Y,Bruns,423.8819876,,,,,,,1,3
82,9-5-1995,8-5-1996,12,F,Technicien,Carnivore,Semi-urbain,Travail-occasionnel,0,1990,BMW,M,25-5-1952,Autre,1971,Y,Bruns,,,,,,,,0,3
82,9-5-1996,8-5-1997,12,F,Technicien,Carnivore,Semi-urbain,Travail-occasionnel,0,1990,BMW,M,25-5-1952,Autre,1971,Y,Bruns,,,,,,,,0,3
82,9-5-1997,8-5-1998,12,F,Technicien,Carnivore,Semi-urbain,Travail-occasionnel,0,1990,BMW,M,25-5-1952,Autre,1971,Y,Bruns,2955.093168,,,,,,,1,3
82,9-5-1998,8-5-1999,12,F,Technicien,Carnivore,Semi-urbain,Travail-occasionnel,0,1990,BMW,M,25-5-1952,Autre,1971,Y,Bruns,,,,,,,,0,3
82,9-5-1999,8-5-2000,12,F,Technicien,Carnivore,Semi-urbain,Travail-occasionnel,0,1990,BMW,M,25-5-1952,Autre,1971,Y,Bruns,,,,,,,,0,3
82,9-5-2000,8-5-2001,12,F,Technicien,Carnivore,Semi-urbain,Travail-occasionnel,0,1990,BMW,M,25-5-1952,Autre,1971,Y,Bruns,,,,,,,,0,3
82,9-5-2001,12-4-2002,12,F,Technicien,Carnivore,Semi-urbain,Travail-occasionnel,0,1990,BMW,M,25-5-1952,Autre,1971,Y,Bruns,,,,,,,,0,3
82,9-5-2002,8-5-2003,12,F,Technicien,Carnivore,Semi-urbain,Travail-occasionnel,0,2000,BMW,M,25-5-1952,Autre,1971,Y,Bruns,,,,,,,,0,3
85,3-1-1996,2-1-1997,12,F,Technicien,Carnivore,Semi-urbain,Travail-occasionnel,1,1991,FIAT,M,19-6-1951,Autre,1976,Y,Bruns,,,,,,,,0,3
85,3-1-1998,2-1-1999,12,F,Technicien,Carnivore,Semi-urbain,Travail-occasionnel,1,1991,FIAT,M,19-6-1951,Autre,1976,Y,Bruns,,,,,,,,0,3
85,3-1-2000,2-1-2001,12,F,Technicien,Végétarien,Semi-urbain,Travail-occasionnel,1,1991,FIAT,M,19-6-1951,Autre,1976,Y,Bruns,,,,,,,,0,3
85,3-1-2001,2-1-2002,12,F,Technicien,Carnivore,Semi-urbain,Travail-occasionnel,1,1991,FIAT,M,19-6-1951,Autre,1976,Y,Bruns,,,,,,,,0,3
85,3-1-2002,2-1-2003,12,F,Technicien,Carnivore,Semi-urbain,Travail-occasionnel,1,1991,FIAT,M,19-6-1951,Autre,1976,Y,Bruns,1064.801242,,,,,,,1,3
85,3-1-2003,2-1-2004,12,F,Technicien,Carnivore,Semi-urbain,Travail-occasionnel,1,1991,FIAT,M,19-6-1951,Autre,1976,Y,Bruns,,,,,,,,0,3
94,8-11-1995,29-9-1996,12,F,Ingénieur,Carnivore,Semi-urbain,Travail-quotidien,0,1992,MERCEDES-BENZ,M,28-10-1927,Autre,1960,Y,Bruns,,,,,,,,0,3
94,30-9-1996,29-9-1997,12,F,Ingénieur,Carnivore,Semi-urbain,Travail-quotidien,0,1992,MERCEDES-BENZ,M,28-10-1927,Autre,1960,Y,Bruns,,,,,,,,0,3
94,30-9-1998,29-9-1999,12,F,Ingénieur,Carnivore,Semi-urbain,Travail-quotidien,0,1992,MERCEDES-BENZ,M,28-10-1927,Autre,1960,Y,Blonds,,,,,,,,0,3
94,30-9-1999,29-9-2000,12,F,Ingénieur,Carnivore,Semi-urbain,Travail-quotidien,0,1992,MERCEDES-BENZ,M,28-10-1927,Autre,1960,Y,Blonds,,,,,,,,0,3
94,30-9-2000,29-9-2001,12,F,Ingénieur,Carnivore,Semi-urbain,Travail-quotidien,0,1992,MERCEDES-BENZ,M,28-10-1927,Autre,1960,Y,Blonds,,,,,,,,0,3
94,5-7-2002,10-7-2002,12,F,Ingénieur,Carnivore,Semi-urbain,Travail-quotidien,0,2002,MERCEDES-BENZ,M,28-10-1927,Autre,1960,Y,Bruns,,,,,,,,0,3
94,30-9-2002,29-9-2003,12,F,Ingénieur,Carnivore,Semi-urbain,Travail-quotidien,0,2002,MERCEDES-BENZ,M,28-10-1927,Autre,1960,Y,Bruns,,,,,,,,0,3
97,8-12-1995,7-12-1996,12,F,Infirmière,Carnivore,Urbain,Travail-occasionnel,1,1986,LADA,M,11-6-1956,Autre,1975,N,Bruns,,,,,,,,0,3
97,8-12-1996,12-12-1996,12,F,Infirmière,Carnivore,Urbain,Travail-occasionnel,1,1986,LADA,M,11-6-1956,Autre,1975,N,Bruns,,,,,,,,0,3
97,13-12-1996,7-12-1997,12,F,Infirmière,Carnivore,Urbain,Travail-occasionnel,1,1996,SKODA,M,11-6-1956,Autre,1975,N,Bruns,,,,,,,,0,3
97,8-12-1998,7-12-1999,12,F,Infirmière,Carnivore,Urbain,Travail-occasionnel,1,1996,SKODA,M,11-6-1956,Autre,1975,N,Bruns,,,,,,,,0,3
97,8-12-1999,7-12-2000,12,F,Infirmière,Carnivore,Urbain,Travail-occasionnel,1,1996,SKODA,M,11-6-1956,Autre,1975,N,Bruns,,,,,,,,0,3
97,8-12-2000,24-5-2001,12,F,Infirmière,Carnivore,Urbain,Travail-occasionnel,1,1996,SKODA,M,11-6-1956,Autre,1975,N,Bruns,1821.583851,,,,,,,1,3
97,25-5-2001,7-12-2001,12,F,Infirmière,Carnivore,Urbain,Travail-occasionnel,0,1996,NISSAN,M,11-6-1956,Autre,1975,N,Bruns,,,,,,,,0,3
97,8-12-2001,7-12-2002,12,F,Infirmière,Carnivore,Urbain,Travail-occasionnel,0,1996,NISSAN,M,11-6-1956,Autre,1975,N,Bruns,,,,,,,,0,3
104,1-3-1995,29-2-1996,12,F,Technicien,Carnivore,Rural,Travail-occasionnel,1,1989,FORD,M,15-6-1959,Autre,1976,Y,Bruns,,,,,,,,0,3
104,5-9-1995,4-9-1996,12,F,Technicien,Carnivore,Rural,Travail-occasionnel,1,1989,FORD,M,15-6-1959,Autre,1976,Y,Blonds,266.3416149,,,,,,,1,3
104,5-9-1997,30-12-1997,12,F,Technicien,Végétarien,Rural,Travail-occasionnel,1,1989,FORD,M,15-6-1959,Autre,1976,Y,Bruns,,,,,,,,0,3
104,31-12-1997,4-9-1998,12,F,Technicien,Végétarien,Rural,Travail-occasionnel,1,1989,FORD,M,15-6-1959,Autre,1976,N,Bruns,,,,,,,,0,3
104,5-9-1998,3-12-1998,12,F,Technicien,Végétarien,Rural,Travail-occasionnel,1,1989,FORD,M,15-6-1959,Autre,1976,N,Bruns,1803.571429,,,,,,,1,3
104,5-9-2000,4-9-2001,12,F,Technicien,Carnivore,Rural,Travail-occasionnel,1,1988,SAAB,M,15-6-1959,Autre,1976,N,Bruns,,,,,,,,0,3
104,5-9-2001,12-5-2002,12,F,Technicien,Carnivore,Rural,Travail-occasionnel,1,1988,SAAB,M,15-6-1959,Autre,1976,N,Bruns,,,,,,,,0,3
104,13-5-2002,4-9-2002,12,F,Technicien,Carnivore,Rural,Travail-occasionnel,1,1994,PEUGEOT,M,15-6-1959,Autre,1976,N,Bruns,,,,,,,,0,3
104,5-9-2002,4-9-2003,12,F,Technicien,Carnivore,Rural,Travail-occasionnel,1,1994,PEUGEOT,M,15-6-1959,Autre,1976,N,Bruns,,,,,,,,0,3
109,17-5-1996,29-5-1996,12,F,Technicien,Carnivore,Semi-urbain,Travail-occasionnel,0,1990,LADA,M,17-8-1952,Autre,1975,Y,Bruns,,,,,,,,0,3
109,17-5-1997,16-5-1998,12,F,Technicien,Carnivore,Semi-urbain,Travail-occasionnel,0,1996,SUZUKI,M,17-8-1952,Autre,1975,Y,Bruns,,,,,,,,0,3
109,17-5-1998,16-5-1999,12,F,Technicien,Carnivore,Semi-urbain,Travail-occasionnel,0,1996,SUZUKI,M,17-8-1952,Autre,1975,Y,Bruns,121.3229814,,,,,,,1,3
109,17-5-1999,16-5-2000,12,F,Technicien,Carnivore,Semi-urbain,Travail-occasionnel,0,1996,SUZUKI,M,17-8-1952,Autre,1975,Y,Bruns,,,,,,,,0,3
109,17-5-2000,16-5-2001,12,F,Technicien,Carnivore,Semi-urbain,Travail-occasionnel,0,1996,SUZUKI,M,17-8-1952,Autre,1975,Y,Bruns,683,,,,,,,1,3
116,4-9-1995,3-9-1996,1,F,Infirmière,Carnivore,Urbain,Travail-occasionnel,1,1985,PEUGEOT,M,8-11-1963,Autre,1980,N,Bruns,,,,,,,,0,3
116,4-9-1998,11-6-1999,1,F,Infirmière,Carnivore,Urbain,Travail-occasionnel,1,1985,PEUGEOT,M,8-11-1963,Autre,1980,N,Bruns,316.7204969,1803.695652,,,,,,2,3
116,12-6-1999,3-9-1999,1,F,Infirmière,Carnivore,Urbain,Travail-occasionnel,0,1995,PEUGEOT,M,8-11-1963,Autre,1980,N,Bruns,,,,,,,,0,3
118,21-6-2000,11-9-2000,12,F,Infirmière,Végétarien,Rural,Travail-occasionnel,1,1991,FIAT,M,23-12-1952,Autre,1980,Y,Bruns,,,,,,,,0,3
118,12-9-2000,20-6-2001,12,F,Infirmière,Végétarien,Rural,Travail-occasionnel,1,1991,FIAT,M,23-12-1952,Autre,1980,Y,Bruns,,,,,,,,0,3
120,6-6-1996,10-2-1997,1,F,Infirmière,Carnivore,Rural,Travail-occasionnel,0,1991,AUDI,M,1-10-1963,Autre,1984,Y,Bruns,,,,,,,,0,3
120,11-2-1997,5-6-1997,1,F,Infirmière,Carnivore,Rural,Travail-occasionnel,0,1991,AUDI,M,1-10-1963,Autre,1984,Y,Bruns,,,,,,,,0,3
134,31-1-1996,30-1-1997,12,F,Ingénieur,Carnivore,Urbain,Travail-occasionnel,1,1989,FORD,M,17-1-1933,Autre,1966,Y,Bruns,,,,,,,,0,3
134,31-1-1997,30-1-1998,12,F,Ingénieur,Carnivore,Urbain,Travail-occasionnel,1,1989,FORD,M,17-1-1933,Autre,1966,Y,Bruns,,,,,,,,0,3
134,31-1-1999,16-12-1999,12,F,Ingénieur,Carnivore,Urbain,Travail-occasionnel,1,1989,FORD,M,17-1-1933,Autre,1966,Y,Bruns,,,,,,,,0,3
134,17-12-1999,30-1-2000,12,F,Ingénieur,Carnivore,Urbain,Travail-occasionnel,0,1999,FORD,M,17-1-1933,Autre,1966,Y,Bruns,,,,,,,,0,3
134,31-1-2001,13-6-2001,12,F,Ingénieur,Carnivore,Urbain,Travail-occasionnel,0,1999,FORD,M,17-1-1933,Autre,1966,Y,Bruns,,,,,,,,0,3
134,14-6-2001,30-1-2002,12,F,Ingénieur,Carnivore,Urbain,Travail-occasionnel,0,2001,FORD,M,17-1-1933,Autre,1966,Y,Blonds,,,,,,,,0,3
134,31-1-2002,30-1-2003,12,F,Ingénieur,Carnivore,Urbain,Travail-occasionnel,0,2001,FORD,M,17-1-1933,Autre,1966,Y,Bruns,,,,,,,,0,3
134,31-1-2003,30-1-2004,12,F,Ingénieur,Carnivore,Urbain,Travail-occasionnel,0,2001,FORD,M,17-1-1933,Autre,1966,Y,Bruns,,,,,,,,0,3
140,15-4-1995,14-4-1996,12,F,Médecin,Végétalien,Semi-urbain,Travail-occasionnel,1,1986,VOLVO,M,25-7-1960,Autre,1978,Y,Bruns,466.6086957,469.6583851,,,,,,2,3
140,15-4-1996,20-9-1996,12,F,Médecin,Végétarien,Semi-urbain,Travail-occasionnel,1,1986,VOLVO,M,25-7-1960,Autre,1978,Y,Bruns,,,,,,,,0,3
149,13-9-1995,6-12-1995,1,F,Hockeyeur,Végétarien,Rural,Travail-quotidien,1,1992,RENAULT,F,24-6-1941,Autre,1975,N,Bruns,,,,,,,,0,3
149,7-12-1995,12-9-1996,1,F,Hockeyeur,Végétarien,Rural,Travail-quotidien,1,1992,RENAULT,F,24-6-1941,Autre,1975,N,Roux,,,,,,,,0,3
149,13-9-1996,12-9-1997,1,F,Hockeyeur,Carnivore,Rural,Travail-quotidien,1,1992,RENAULT,F,24-6-1941,Autre,1975,N,Bruns,,,,,,,,0,3
149,13-9-1998,12-9-1999,1,F,Hockeyeur,Végétarien,Rural,Travail-quotidien,1,1992,RENAULT,F,24-6-1941,Autre,1975,N,Bruns,,,,,,,,0,3
149,13-9-1999,12-9-2000,1,F,Hockeyeur,Végétarien,Rural,Travail-quotidien,1,1992,RENAULT,F,24-6-1941,Autre,1975,N,Bruns,,,,,,,,0,3
149,13-9-2000,12-9-2001,1,F,Hockeyeur,Végétarien,Rural,Travail-quotidien,1,1992,RENAULT,F,24-6-1941,Autre,1975,N,Bruns,,,,,,,,0,3
149,13-9-2001,12-9-2002,1,F,Hockeyeur,Carnivore,Rural,Travail-quotidien,1,1992,RENAULT,F,24-6-1941,Autre,1975,N,Blonds,,,,,,,,0,3
149,13-9-2002,12-9-2003,1,F,Hockeyeur,Carnivore,Rural,Travail-quotidien,1,1992,RENAULT,F,24-6-1941,Autre,1975,N,Bruns,,,,,,,,0,3
159,1-2-1995,31-1-1996,12,F,Technicien,Carnivore,Semi-urbain,Travail-occasionnel,0,1992,GM,M,1-5-1942,Autre,1975,Y,Bruns,,,,,,,,0,3
159,1-2-1998,31-1-1999,12,F,Technicien,Végétarien,Semi-urbain,Travail-occasionnel,0,1992,GM,M,1-5-1942,Autre,1975,Y,Bruns,,,,,,,,0,3
159,1-2-1999,31-1-2000,12,F,Technicien,Carnivore,Semi-urbain,Travail-occasionnel,0,1992,GM,M,1-5-1942,Autre,1975,Y,Bruns,978.9813665,,,,,,,1,3
