CarMake,CarModel,CarYear,Car_n_serie,Car_plate
Subaru,Forester,2009,1u0lA176Df65512j,QDL215
Lotus,Esprit,1986,2s2eZQ1H9tn1206l,GVG838
Lotus,Esprit,1987,3f9iIydIJu45404u,BDA170
Oldsmobile,Aurora,1998,8z6dHrf7D083282l,YWP275
GMC,Yukon,2012,7h3sNvuTReq9456q,BSR407
Saturn,Ion,2003,2s8hJd46L4s0810g,DMS580
Volvo,V50,2010,6f1pAdz1Mhx6020h,TT1362
Suzuki,Esteem,2000,9a2mXPzO1nw1945c,AZH883
BMW,8 Series,1994,5c6zXNlF0io4345d,HO7583
Toyota,Matrix,2012,5m2tPxeM4wX7178q,CCB874
Cadillac,Escalade ESV,2012,9b1vGUl6E9q5858f,RMY645
Eagle,Talon,1996,2w4hXYfIUay8709i,NB7244
Audi,A8,1998,8o8xRVu9WdW7970q,O9Y144
Buick,LeSabre,1997,0c7hBheW37R2095d,P3Z830
GMC,Sierra 1500,2003,2z0gCfoSMsa7107z,BWX940
Kia,Spectra,2003,3r8hZ0m865d3809k,LQ4109
Kia,Sedona,2006,6p6bFcvQ3rX1300i,E4X695
GMC,Jimmy,1999,1d4jDG8UN6e1041r,DEE316
Honda,del Sol,1994,3h6cKr781tz2240c,Y23667
Toyota,Supra,1998,2k9xK7fM7bY8341r,I36373
Pontiac,Grand Prix,1976,6q1gLpy7J096740s,VMG422
Cadillac,Escalade EXT,2008,6o4oD13CBis0002e,GJX891
Cadillac,Fleetwood,1995,3z7aEtyM3ql1396d,RL0897
GMC,Yukon XL 2500,2000,0i6pX8f53i06420e,MSO684
Hyundai,XG350,2004,0g2vFWxYKhW4440z,J4J201
Subaru,Alcyone SVX,1995,6a0dVRsYAwM6058a,I9F315
BMW,5 Series,1999,3m8kSd57VhW2034p,IXC743
Dodge,Ram Van 3500,2001,5h5rLdv55sa4164h,Q6H166
Infiniti,G,2010,6u7qHyuTOsp8675t,S81804
GMC,Jimmy,1998,1t2kSslTZdm1139e,EEC726
Mazda,B-Series Plus,1996,8p7fTnnHG9b4034q,I7I785
Ford,E250,2004,0y0zDpuRWe60573h,HOU989
Chevrolet,Tahoe,1999,5h5oAaj0W145420w,X38142
Mitsubishi,Truck,1985,4c0fKPoFL2W4035s,OFS652
BMW,Z8,2002,,NET520
Nissan,300ZX,1992,4e3mQNsWY4u2850c,HE7258
Volvo,940,1992,1f6vYF8AWcd2181z,P3T642
Plymouth,Grand Voyager,1994,1u9lW4tZD1r1125m,YRO937
Toyota,Prius,2010,7i2fEogZL3A8610o,K2C528
Dodge,Ram 2500 Club,1995,9d2qWT05I6b8710c,FPC263
BMW,7 Series,2000,3a4cMXeJIfv1375f,T97390
Mercury,Milan,2006,6p2qEYtSEys7456k,NCJ585
Jaguar,XJ,2007,2o1oTFp1Gre8114g,TLI967
Chevrolet,S10,2004,5s7bPomQN6K0457q,QCA630
Dodge,Ram 2500 Club,1997,3o1sGYy72f63141j,B8D753
Mitsubishi,Diamante,2001,,HUQ447
Volvo,V70,2009,8s5eZ4uH94G2717b,BMB978
Nissan,370Z,2012,9c6wRB14AnW5315y,N70700
Suzuki,SX4,2012,2u9cTsvF48U5656p,G8O414
Mazda,RX-8,2009,5m6nHAn9UiJ9935c,CE1108
Mitsubishi,3000GT,1996,7w5uL5cLJpE5681b,IU6560
Nissan,Quest,2009,7x8rR8q266Q7066q,D0V985
Chevrolet,Silverado 2500,2005,2s2sWy9LN1a0839g,LX7748
Saturn,Astra,2009,2x5zVGtUIqT5767e,X68878
Mercedes-Benz,600SEL,1992,2j8cXgrDLpM2798g,NLH369
Volvo,V70,1999,7g2mHjr22iU0783s,ELB763
Land Rover,Range Rover,1998,9y4eOBrY7hw3821c,JXQ486
Toyota,Highlander,2008,3t8fFDmLFfQ7246c,MY4376
Mercedes-Benz,CLK-Class,2000,7k3ySJpVXje7353n,CMJ466
GMC,Yukon XL 1500,2002,0y8oNsq48nA9207d,W8Q605
Plymouth,Grand Voyager,1997,3h4yIvkD24K9257c,E5V389
Honda,Fit,2011,2k5hJDyVEcN9796r,H38426
Pontiac,Sunfire,1995,3o5nRru2G2V9970v,Y1Y680
Audi,A8,2011,5l7tIyd0Uvk8215z,UD7452
Aston Martin,DB9 Volante,2006,2o2qUyu80cm5813s,IZ2718
Isuzu,Trooper,1993,8n2zZQ81E413967l,WGC956
Chevrolet,Tahoe,1999,9w9vJGzLR4Y2343t,Z7R489
BMW,7 Series,1998,5h7wHVqDVev3521z,VML039
Oldsmobile,Alero,1999,9p7kSq8QRit0881x,R8L194
Cadillac,Seville,1993,0y5cSma79sZ2497s,B8A097
Dodge,Caravan,1995,1v9vSgzXJs41403o,LJS700
Subaru,XT,1990,7a8wMdmPD6I7475y,T38661
Maybach,62,2007,0s1vNi3GRsj9431r,S50450
BMW,8 Series,1995,5c3kOBlVMcQ2384s,SJW685
Toyota,Celica,1983,5i2aF8yRIw29198t,LOF780
Mercedes-Benz,C-Class,1998,1b2gFmn30w51580l,UT0551
Lincoln,Town Car,1992,8v7kQGeNZ4L6224z,TVJ922
Chevrolet,Caprice,1994,4j5rLcgCStw5868g,YAQ332
Nissan,Altima,2009,5h2lPiaI2tp5892t,O2G942
Mazda,MX-5,2003,7i2bV6jCPbE0870v,CZ5881
Geo,Metro,1995,5v3eMiuMY6E1133l,BJX892
Mitsubishi,Truck,1988,4c9zKxmXPc63293k,K18633
Volvo,C70,2007,6t8bYin8Bjm2056i,IY3429
Buick,Skylark,1992,8g4qKonWRpW2401i,P1K376
Mitsubishi,Pajero,1994,4l3sX69IFfp4122e,QAL103
Subaru,Legacy,2004,9h5cNni098t4293d,IFG198
Ford,Fairlane,1965,7g6lEApBT3Q3402b,VRQ444
Toyota,MR2,2001,6y8lO3mU7aZ8572d,SAA327
Dodge,Grand Caravan,1993,2f8pEGr3Atf1443g,JM5318
Chrysler,Town & Country,1997,3a1xJAmP5cw1309l,IB9776
Land Rover,Discovery,2012,1v9cPb9043M8241w,I4T367
BMW,650,2006,4l2rN59CI3I1744j,QVX106
Mitsubishi,Truck,1995,2l8bMVqVKvP4908w,M7F202
Subaru,Brat,1984,2i0iG8uGCoS0847s,AQS989
Lincoln,MKS,2010,8z8aWXeJ8kh6529u,BIU254
Hyundai,Accent,2006,0s4bYu7TTqc8441x,HK5176
Mazda,Protege,1992,0n1pHZpX7e17070x,EMN082
Audi,Cabriolet,1994,2u2bDNrRG6M4291b,GU7631
Dodge,D250 Club,1992,6g0lIMfNQv93658u,FDH352
Mitsubishi,Montero,1995,7r9vOuiT3vL2294v,PJ6308
Oldsmobile,Ciera,1996,5e7jUL7GFev4385u,NIZ796
Mercedes-Benz,S-Class,1992,9f3rPAsGCtA1095d,HFL916
Pontiac,Grand Prix,1990,6q3kUdjVUdX5353h,RE2684
Ford,Th!nk,2000,9j4lIl50NzV1374x,TE3717
Chevrolet,Express 2500,2005,5t0eCpmBNgD0434j,P2V898
GMC,Safari,2003,3x3vDLm6Vci4659a,JXV370
Toyota,Previa,1991,1g5kCmyOFp77825v,UWF494
Volkswagen,Passat,2009,8n1uAFyCDa47066u,VHW534
Ford,Mustang,1994,7h1zIGpZHqF0941p,SPK975
Volvo,C70,2012,1j8ySn31J8B3445d,AW0361
Mazda,Mazda6,2006,2s3lBXvJS6o0787y,WGN546
Volkswagen,Eurovan,1999,5y2qW4gCHzu2355k,ROP431
Honda,Accord,2002,8o2gYruVNlx3592v,LF4401
Plymouth,Neon,1996,9v2eAPgRDsw8639b,N3D258
Chrysler,300,2012,8v0lXInH0j65931k,NXV398
Nissan,Rogue,2010,3p4zFdtPQza5209c,EIP956
Mazda,RX-8,2009,8i4fP6x7C5Z5321x,Y6E156
Ford,Escort,1988,3z5vA9tH2eC9501u,N22141
Maserati,Biturbo,1986,4j1oKcdXN286638t,P8V106
Dodge,Stealth,1992,7w3mBVkB53Y4886c,KV6901
Subaru,Outback,2010,3k2wDT4I0rh1740k,ZUA515
Acura,RL,2007,2s4wZjtN6sx4252s,UON787
Mercury,Monterey,2006,3c4bWPfK3dQ4064u,VLS050
Lexus,IS,2005,7z4cTAt7U387965x,MXY400
Pontiac,Parisienne,1986,3q0fRw2GC1r8577v,WG0751
Nissan,Altima,1997,3g1fAsgRJ3m9365q,A1E496
Honda,Civic,2002,9m3dQvyB1uM3913h,H7S254
Toyota,Land Cruiser,1996,3a8bZ1dDFbc4703i,MUX266
Chevrolet,Citation,1980,0o8zEa80Dpr3292h,YIT030
BMW,Z3,2002,7u8tTVfDMzD3580a,P1J049
Chrysler,Cirrus,1997,2u7eN39EOq90582j,XGC977
Toyota,Camry,2012,2v5jZa9KCiz2071e,YVF319
Toyota,Sienna,2003,1f8gFDiNLyP5773x,QRF737
Dodge,Viper,2008,6a5yTReDBge5763x,P36461
Porsche,911,2012,1j2pQ093L279612r,ZYX563
Dodge,Dakota,2011,0c9tSQr2WeY2147v,NS6281
Chevrolet,Impala,2002,0r9qKMh0IcR7339d,MR5620
Mitsubishi,Montero Sport,1998,4i9jGmrVDvL9926t,J6J126
GMC,Acadia,2012,2x4lFF0MNfq0484t,XDL907
Chevrolet,Astro,1998,7t2mEKtUVyD5224g,B2X433
Daewoo,Leganza,2000,3n1oKu3PQw64730u,CES656
Kia,Carens,2007,0h4dJoeSK8t4291y,GT9547
Pontiac,Firebird,2001,7o2oXXmNFv22071d,IY6714
Dodge,Ram 2500,2006,1b8mOojDWrS9855d,Y30341
Hyundai,Sonata,2010,9s2sPco788g2854s,TUZ394
Mercedes-Benz,300SE,1993,0x8nAEjDVbv0522y,NJR117
Mercedes-Benz,E-Class,1996,1a6rQHhFMxA4829w,TWD039
Daewoo,Leganza,2000,7o7yEOgUQnl0803k,AN4356
Lexus,RX,2003,1a9qKh93XaV0650p,OGI383
Studebaker,Avanti,1961,7n3nGQ94Nsg8187m,KCX226
Ford,Expedition,2007,0g0aIqbSLqG1188r,B74319
Mazda,Miata MX-5,2009,0y4rTj3YXyB7539b,D0K792
Mitsubishi,Mirage,1989,8d6fQkvDUkv8225y,CGF056
Land Rover,Discovery,2008,7m1xRzfCQsp0024j,PHA267
Maserati,Spyder,2003,5d4lHFeFYkH8899b,XO7812
Land Rover,LR2,2008,5v8jG047Z7U4688o,CNY936
Infiniti,Q,2002,1n2tRo78PiJ0955c,S32011
Kia,Sportage,2010,5y0eAdpN6zj3741i,YOS809
Ford,Taurus,1989,6m5pKViPKrd2542s,XPA786
Volvo,XC70,2006,1j9kKmb7NxI8118n,CZ7110
Ford,Explorer Sport Trac,2010,7i9dAdpNB8p2912w,ATY543
Mitsubishi,Tredia,1988,,WRS646
Buick,Park Avenue,2004,4e2eL7mZQhu4289b,DJ4758
Mercury,Mountaineer,2000,4l2bGBp594L3095q,UWZ817
GMC,Rally Wagon 2500,1992,1k7jVD65Ekv2788f,DQ5232
Oldsmobile,Silhouette,1994,0x5lGFdMQe22198g,NK9122
Toyota,Celica,2005,9n2sIc2UI792609r,BBM883
Mitsubishi,Chariot,1996,2e5sROfZVnP3629e,EDL236
Hyundai,Accent,1997,9n8fZoiWD3T1306z,YCA777
Jeep,Cherokee,2001,6i7cRNg8MxZ3857z,AHQ186
Mercedes-Benz,S-Class,1985,1i8iPDlQ9mE3022d,DRP186
Ford,F-Series,1991,4c2lPJnRD1g7570c,K6N595
Ford,Focus,2001,4r4wP81HQ7Q9267v,NM2467
GMC,Savana Cargo Van,2006,8m9eNAd1VuF2899s,TIP845
Volkswagen,Routan,2009,7v2iMSwPOk58113e,NBB693
Jeep,Cherokee,1992,5r8xZL98Fis2180i,ZVN461
GMC,Rally Wagon G3500,1996,1f3oSph5Gy07947i,DLU021
Volkswagen,Passat,2002,3r7nSZxZNe84114k,L8K984
Scion,tC,2005,6p3cCPt9BoE1382q,C92736
Volkswagen,Fox,1992,8c7dKknMKzO1288i,DGM931
Hyundai,Sonata,1994,4t4xOv69XjL0784v,EZF060
Ford,F350,1992,5f5dN9lH89z2387w,V5W285
Saturn,L-Series,2000,9k8kH3b4Kl32371g,IL4620
Mercedes-Benz,R-Class,2007,3t4hTu13Hr98044p,UNA183
Toyota,4Runner,2006,8w8mZCvEOls0493t,J8L391
Dodge,Ram 3500,2010,7z6hNZ6WH168532h,GVL397
