LONGITUDE,LATITUDE,ENQUÊTE,ANNÉE,PROVINCE,COMMUNAUTÉ,RÉSULTAT
-82.912,41.983,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.933,41.984,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.94,41.986,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.948,41.991,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.876,41.993,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.934,41.995,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.849,41.996,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.959,42.002,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.959,42.003,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.794,42.006,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.849,42.008,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.782,42.015,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.583,42.019,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.01,42.024,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.958,42.025,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.932,42.025,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.021,42.026,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.012,42.029,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.893,42.031,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.043,42.032,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.842,42.032,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.925,42.034,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.696,42.034,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.918,42.036,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.692,42.036,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.688,42.036,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.919,42.037,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.744,42.037,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.736,42.037,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.735,42.037,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.691,42.037,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.74,42.038,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.997,42.039,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.668,42.039,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.033,42.04,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.825,42.043,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.882,42.045,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.905,42.046,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.6,42.048,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.613,42.049,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.612,42.049,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.868,42.052,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.111,42.053,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.053,42.053,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.6,42.053,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.917,42.056,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.037,42.057,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.584,42.057,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.983,42.058,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.977,42.058,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.963,42.058,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.018,42.059,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.738,42.059,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.755,42.061,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.053,42.062,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.7,42.065,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.948,42.068,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.936,42.068,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.937,42.069,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.671,42.069,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.893,42.077,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.708,42.077,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.98,42.078,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.08,42.082,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.82,42.082,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.098,42.083,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.924,42.085,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.597,42.085,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.067,42.086,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.852,42.086,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.92,42.089,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.965,42.091,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.463,42.095,AGRILE DU FRÊNE,2002,ONTARIO,DIVISION DE CHATHAM-KENT,NON DÉTECTÉ
-82.943,42.096,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.02,42.097,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.1,42.098,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.449,42.098,AGRILE DU FRÊNE,2002,ONTARIO,DIVISION DE CHATHAM-KENT,NON DÉTECTÉ
-82.9,42.101,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.051,42.102,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.457,42.103,AGRILE DU FRÊNE,2002,ONTARIO,DIVISION DE CHATHAM-KENT,NON DÉTECTÉ
-82.818,42.108,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.095,42.109,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.058,42.109,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.86,42.11,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.867,42.111,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.927,42.116,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.757,42.12,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.075,42.121,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.846,42.122,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.833,42.122,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.847,42.123,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.971,42.124,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.071,42.125,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.079,42.126,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.103,42.127,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.074,42.129,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.85,42.129,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.744,42.129,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.564,42.134,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.07,42.135,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.951,42.136,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.638,42.136,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.921,42.14,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.104,42.141,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.638,42.141,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.108,42.142,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.113,42.144,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.91,42.147,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.069,42.149,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.069,42.151,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.814,42.155,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.068,42.161,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.826,42.162,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.834,42.165,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.82,42.166,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.819,42.173,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.811,42.173,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.828,42.177,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.829,42.178,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.824,42.178,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.864,42.179,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.637,42.182,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.574,42.182,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.877,42.184,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.843,42.189,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.916,42.192,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.054,42.193,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.916,42.195,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.875,42.196,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.016,42.198,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.916,42.199,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.061,42.2,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.843,42.203,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.832,42.206,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.098,42.207,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.098,42.208,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.932,42.209,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.883,42.213,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.79,42.214,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.082,42.216,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.073,42.216,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.06,42.219,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.031,42.22,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.885,42.22,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.986,42.222,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.958,42.226,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.099,42.227,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.963,42.227,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.992,42.228,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.991,42.229,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.925,42.229,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.783,42.229,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.103,42.23,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.97,42.231,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.969,42.231,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.968,42.231,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.958,42.231,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.855,42.231,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.832,42.231,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.092,42.232,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.788,42.232,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.089,42.233,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.062,42.233,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.636,42.234,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.931,42.235,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.083,42.236,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.698,42.236,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.685,42.236,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.962,42.237,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.779,42.238,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.763,42.238,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.087,42.239,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.072,42.239,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.051,42.239,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.964,42.239,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.808,42.239,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.059,42.24,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.054,42.24,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.871,42.24,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.861,42.24,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.997,42.241,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.971,42.241,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.821,42.241,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.078,42.242,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.077,42.242,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.029,42.242,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.991,42.242,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.061,42.243,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.986,42.243,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.95,42.243,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.855,42.243,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.051,42.245,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.039,42.245,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.992,42.245,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.987,42.245,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-82.825,42.245,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.061,42.246,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.045,42.246,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
-83.038,42.246,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
