numeropol,marque_voiture,couleur_voiture,presence_alarme,license_plate
290,AUDI,Autre,0,300 CTC
300,VOLKSWAGEN,Autre,0,GVIG-825
303,VOLKSWAGEN,Autre,1,KBH43
309,FIAT,Autre,1,DAE 627
309,VOLKSWAGEN,Autre,1,GVOH-395
310,FORD,Autre,0,TIKY 382
317,TOYOTA,Autre,1,HV 2203
321,AUDI,Autre,1,VTB 552
321,VOLKSWAGEN,Autre,1,FHB 128
338,VOLVO,Autre,0,AX9 062
341,NISSAN,Autre,1,723036
341,GM,Autre,1,ZSC 165
341,RENAULT,Autre,1,GVKE-591
341,ALFA ROMEO,Autre,1,YWP 040
347,RENAULT,Autre,1,KJV-1159
347,FORD,Autre,1,YA 3444
348,CHRYSLER,Autre,0,946 IZC
348,AUDI,Autre,0,DJG 239
350,VOLKSWAGEN,Autre,1,WRD 739
352,FORD,Autre,1,952 2GL
352,HONDA,Autre,0,CK 3459
353,VOLKSWAGEN,Autre,0,685 535
354,SUZUKI,Autre,1,PVB-8472
355,GM,Autre,1,401 664
355,VOLKSWAGEN,Autre,1,111 6PB
358,FORD,Autre,1,V26 TOC
358,FORD,Autre,0,JGE 230
361,GM,Autre,1,E97 AFB
368,GM,Autre,0,VHL99
368,BMW,Autre,0,ES 7930
369,SUZUKI,Rouge,1,15 55QC
379,AUDI,Autre,0,OF 7770
385,RENAULT,Autre,1,KOR 790
385,TOYOTA,Autre,1,641 RKJ
390,VOLKSWAGEN,Autre,0,AY 3121
399,FORD,Autre,1,AQR 023
399,PEUGEOT,Autre,1,WUR69
401,RENAULT,Autre,0,WFS 812
402,HONDA,Autre,1,LL 7208
403,VOLKSWAGEN,Autre,0,114 PMP
408,HONDA,Autre,1,PLZ 445
409,TOYOTA,Autre,1,LTF 278
421,GM,Autre,1,PF9 92X
433,RENAULT,Autre,1,GVBI-714
440,BMW,Rouge,0,UA0 782
446,VOLKSWAGEN,Autre,1,49 39GB
446,HONDA,Autre,1,SLTY 480
452,MAZDA,Autre,1,62 92NB
452,MAZDA,Autre,0,GVFH-740
457,SEAT,Autre,1,330 BXR
466,Autres,Autre,0,640 484
467,NISSAN,Autre,1,HP6 404
468,VOLKSWAGEN,Autre,0,406 LGF
474,HONDA,Autre,1,801 7TF
475,TOYOTA,Autre,1,24 63EU
475,MITSUBISHI,Autre,0,GVVY-153
485,TOYOTA,Rouge,1,OMG 749
486,VOLKSWAGEN,Autre,0,KFBK 558
487,RENAULT,Rouge,0,AYG-5014
488,VOLKSWAGEN,Autre,0,UA8 640
489,SUZUKI,Autre,1,EOA 557
489,DAEWOO,Autre,0,UZ4 10E
495,BMW,Autre,0,725 QJP
495,RENAULT,Autre,1,EAM-4903
497,Autres,Autre,0,987 JRJ
501,HONDA,Autre,1,OXV 280
504,RENAULT,Autre,0,241 IQS
508,FORD,Rouge,1,701 9PE
509,SUZUKI,Autre,1,381 4XB
512,RENAULT,Autre,1,89 27SC
515,FORD,Autre,1,31 03OA
515,SUZUKI,Autre,1,861 AMK
534,SKODA,Autre,1,NO 2842
534,HONDA,Autre,1,YZM40
537,Autres,Autre,0,HNGC 995
537,NISSAN,Autre,0,HHU82
540,VOLKSWAGEN,Autre,0,525503
540,TOYOTA,Autre,0,SKJ 229
552,HONDA,Autre,1,OUI 923
552,TOYOTA,Autre,1,47 55LZ
552,RENAULT,Autre,0,198 486
558,DAEWOO,Autre,1,GVL 018
558,HONDA,Autre,0,EHX 344
562,GM,Autre,0,262 0MM
563,PEUGEOT,Autre,1,078877
564,FORD,Autre,1,41 99KX
564,HONDA,Autre,1,L50 GEM
568,PEUGEOT,Autre,1,077 134
568,SUZUKI,Autre,0,811 9FD
576,AUDI,Autre,1,145127
582,BMW,Autre,1,754 YQB
582,RENAULT,Autre,1,BDT 612
587,MERCEDES-B,Autre,0,RF 0612
587,HONDA,Autre,0,MFB 889
588,TOYOTA,Autre,1,LPN 500
594,HONDA,Autre,1,MJC 218
606,VOLVO,Autre,1,613 521
606,HONDA,Autre,0,JDZ 018
624,FIAT,Autre,0,313 CRB
625,SEAT,Autre,1,N80 IPL
625,SKODA,Autre,1,CGCI 246
630,SEAT,Autre,1,886 AWU
630,VOLKSWAGEN,Autre,0,412 859
646,NISSAN,Autre,1,508108
646,DAEWOO,Autre,1,UIT-9328
649,VOLKSWAGEN,Autre,0,KV 2010
658,RENAULT,Autre,1,548 3AY
664,AUDI,Autre,1,R78 NQU
664,GM,Autre,1,YXF 723
666,FORD,Autre,1,N23 GCC
666,FORD,Autre,0,KRG 647
666,RENAULT,Autre,0,KTQ 495
680,VOLKSWAGEN,Autre,0,ZI 8050
680,BMW,Autre,1,ENO 358
682,RENAULT,Autre,1,642 QHD
684,ALFA ROMEO,Autre,1,YHE 584
684,LANCIA,Autre,1,TN 7354
684,AUDI,Autre,0,693 ZXQ
687,HONDA,Rouge,1,943 047
693,MERCEDES-B,Autre,1,710 317
696,MERCEDES-B,Autre,1,338 713
696,MERCEDES-B,Autre,0,AT9 38O
697,BMW,Autre,0,17 36RF
697,ALFA ROMEO,Autre,1,SR 4824
697,VOLVO,Autre,1,RHG 375
697,MAZDA,Autre,1,EX 6935
699,MITSUBISHI,Autre,1,OMBY 522
699,RENAULT,Autre,1,QJG 236
699,MITSUBISHI,Autre,0,395 5LC
699,HONDA,Autre,0,RV3 445
699,GM,Autre,1,IJE-9090
711,PEUGEOT,Autre,1,SQXA 799
712,GM,Autre,1,QD9 159
730,AUDI,Autre,1,VU7 19G
730,RENAULT,Autre,1,091 HGH
730,Autres,Autre,1,058 1TT
743,RENAULT,Autre,1,VP6 011
743,RENAULT,Autre,0,801 HBV
786,VOLKSWAGEN,Autre,1,DH9 685
786,VOLKSWAGEN,Autre,0,T18 GHH
802,HONDA,Autre,1,HLP 364
802,RENAULT,Autre,1,227 WKN
806,GM,Autre,0,TJ 6916
806,FIAT,Autre,1,H87 DCQ
818,RENAULT,Autre,1,018491
821,GM,Autre,1,RG6 995
821,FORD,Autre,1,41 05EK
823,NISSAN,Autre,0,WI 7173
823,VOLVO,Autre,0,GVEX-081
827,GM,Autre,0,92 03YP
827,RENAULT,Autre,1,UD7 007
831,BMW,Autre,1,BYP 459
831,FORD,Autre,1,NJR 922
837,VOLKSWAGEN,Autre,0,LIO-6449
844,RENAULT,Autre,1,LTC-9008
846,VOLVO,Autre,1,784 BUZ
849,MITSUBISHI,Autre,1,064 2ZJ
849,MITSUBISHI,Autre,0,RZ 2723
854,DAIHATSU,Autre,0,TPR18
880,HONDA,Autre,1,WPEG 587
880,HONDA,Autre,0,GG9 107
900,RENAULT,Rouge,1,006 504
900,TOYOTA,Rouge,0,FTD 168
902,ROVER,Autre,1,655690
906,FIAT,Autre,1,808 UTT
906,RENAULT,Autre,1,PN 5506
911,RENAULT,Autre,1,NLXU 489
918,SEAT,Autre,0,K97 LAR
921,HONDA,Autre,0,HUV 632
927,NISSAN,Autre,1,712 PXY
933,PEUGEOT,Autre,1,334 HTP
935,SAAB,Autre,0,281096
935,Autres,Autre,0,HJEV 416
936,FORD,Autre,0,95 04FP
938,VOLKSWAGEN,Autre,0,GVUQ-185
960,NISSAN,Autre,1,195 AGB
965,VOLKSWAGEN,Autre,0,124 NQZ
975,TOYOTA,Autre,1,XLD-2067
975,FORD,Autre,1,ARH 682
979,MITSUBISHI,Autre,0,78 25ZG
980,HONDA,Autre,0,LKPN 574
995,VOLKSWAGEN,Autre,1,264 986
995,VOLKSWAGEN,Autre,0,078509
997,FORD,Autre,0,179 XOB
997,VOLKSWAGEN,Autre,0,QUW 411
1003,BMW,Autre,0,VX 6398
1003,VOLKSWAGEN,Autre,0,IW 5877
1008,GM,Autre,0,992211
1008,RENAULT,Autre,0,22 48PC
1009,AUDI,Rouge,0,HUA 080
1011,AUDI,Autre,0,LW2 485
1011,ROVER,Autre,0,RW3 55A
1013,VOLVO,Autre,0,DAC 388
1013,BMW,Autre,0,357 FEQ
1018,NISSAN,Autre,1,989 914
1018,HONDA,Autre,0,PGZ99
1027,FORD,Autre,0,QKBG 023
1028,NISSAN,Autre,1,RQH 368
1028,FORD,Autre,0,GVLE-521
1032,NISSAN,Autre,1,LKKD 354
1035,AUDI,Autre,0,AL3 82I
1039,LADA,Autre,1,GVPF-910
1043,HONDA,Autre,0,FSA-0745
1044,VOLVO,Autre,1,TI 1607
1061,AUDI,Autre,0,840 605
1073,RENAULT,Autre,0,784 SCM
1078,SUZUKI,Autre,1,HU4 66Y
1078,SUZUKI,Autre,0,183 YBS
1085,MERCEDES-B,Autre,1,169 AJG
1087,MITSUBISHI,Autre,1,ESK 783
1098,HONDA,Autre,1,WUX 413
1106,HONDA,Autre,1,ES 5365
1109,MAZDA,Autre,1,68 51TH
1109,SEAT,Autre,1,HE2 611
1117,FORD,Rouge,1,ZNA 197
1121,TOYOTA,Autre,1,T07 EBR
1126,MITSUBISHI,Autre,0,JMF 220
1129,NISSAN,Autre,0,GVAC-999
1130,GM,Autre,0,YHQ 616
1134,HONDA,Autre,1,346476
1135,GM,Autre,1,QKX 582
1140,FORD,Autre,1,75 17BF
1152,RENAULT,Autre,1,ZJ1 93T
1152,RENAULT,Autre,0,889 940
1153,RENAULT,Autre,0,DOJ 952
1164,VOLVO,Autre,0,19 18OZ
1173,NISSAN,Autre,1,TDV77
1178,TOYOTA,Autre,0,221 GBN
1178,RENAULT,Autre,0,PSN-3475
1179,RENAULT,Autre,1,275 090
1179,DAIHATSU,Autre,1,041 FOV
1181,PEUGEOT,Autre,1,GVIK-775
1181,VOLKSWAGEN,Autre,0,NE2 482
1183,BMW,Autre,0,XGW 295
1184,TOYOTA,Autre,0,WLC 266
1186,HONDA,Autre,1,EMP 801
1187,RENAULT,Autre,0,IVP 432
1192,RENAULT,Autre,1,TQ 1757
1198,FORD,Autre,0,AC 9996
1198,VOLKSWAGEN,Autre,0,AJ 8980
1212,MITSUBISHI,Autre,1,482 013
1218,FORD,Autre,1,JA3 985
1225,AUDI,Autre,0,JQD-6866
1226,TOYOTA,Autre,1,53 44CJ
1226,SUZUKI,Autre,1,NZH-2392
1244,VOLKSWAGEN,Autre,0,PAL36
1249,PEUGEOT,Autre,1,BWOG 683
1249,ALFA ROMEO,Autre,0,JBYU 763
1255,PEUGEOT,Autre,1,QMW-0245
1259,GM,Autre,1,GCK-2376
1262,RENAULT,Autre,0,141321
1263,AUDI,Autre,1,889 761
1263,GM,Autre,0,JYL 794
1264,VOLKSWAGEN,Autre,1,AN5 92X
1268,HONDA,Autre,1,893 BPS
1268,FORD,Autre,1,LUL-1345
1268,LADA,Autre,1,096 590
1275,RENAULT,Autre,1,T76 VBQ
1275,RENAULT,Autre,0,RL1 671
1280,PEUGEOT,Autre,1,CSG 807
1280,TOYOTA,Autre,1,NA 5526
1291,GM,Autre,1,OU 2481
1305,RENAULT,Autre,0,HP5 57G
1307,MAZDA,Autre,0,YH 0666
1309,HONDA,Autre,1,DX7 14X
1316,PEUGEOT,Autre,1,340 BRH
1318,FORD,Autre,0,593 JNN
1319,RENAULT,Autre,1,677 2QI
1320,HONDA,Autre,1,10 07MW
1320,GM,Autre,1,GEB 325
1321,GM,Autre,1,ZA 3285
1321,GM,Autre,0,DS0 60D
1321,MITSUBISHI,Autre,0,340 518
1341,MITSUBISHI,Autre,1,665 628
1357,TOYOTA,Autre,0,GVJY-335
1357,NISSAN,Autre,0,KD7 11D
1358,NISSAN,Autre,1,237 NES
1361,FORD,Autre,0,ELR45
1364,MERCEDES-B,Autre,0,692 RDW
1370,BMW,Autre,1,R73 HCD
1377,HONDA,Autre,0,538 3QM
1383,HONDA,Autre,1,IMAG 857
1396,FIAT,Autre,1,207 082
1396,FIAT,Autre,0,885 228
1399,HONDA,Autre,1,PLM 027
1400,SEAT,Autre,1,AIXC 646
1402,HONDA,Autre,1,N21 OVH
1412,FIAT,Autre,1,EM1 286
1422,FORD,Autre,0,912 NLT
1422,ROVER,Autre,0,955 HMR
1422,AUDI,Autre,1,VJVY 527
1422,CHRYSLER,Autre,1,V95 SOJ
1422,CHRYSLER,Autre,0,EQ4 199
1422,FORD,Autre,1,VIU 650
1423,FORD,Autre,1,XA1 40O
1432,HONDA,Autre,1,466 8CA
1436,PEUGEOT,Autre,1,IQS 430
1438,HONDA,Autre,1,FVO 398
1442,SAAB,Autre,1,NID-0334
1454,VOLKSWAGEN,Autre,0,FEY 975
1466,VOLKSWAGEN,Autre,0,298 JRL
1475,NISSAN,Autre,1,QZ 7150
1475,HONDA,Autre,0,23 40LL
1476,BMW,Autre,0,WA4 41Y
1481,VOLKSWAGEN,Autre,0,YRH10
1484,MERCEDES-B,Autre,1,AW3 60Y
1485,AUDI,Autre,1,128 JWK
1485,PEUGEOT,Autre,1,CLE 704
1487,GM,Autre,0,DB0 073
1487,VOLKSWAGEN,Autre,0,767 340
1487,FORD,Autre,0,IN2 36F
1493,MITSUBISHI,Autre,1,VA6 246
1493,BMW,Autre,1,69 66AO
1493,VOLKSWAGEN,Autre,1,GVGL-741
1493,LANCIA,Autre,0,707531
1493,HONDA,Autre,0,DQXD 550
1493,PEUGEOT,Autre,1,MI 8931
1493,RENAULT,Autre,1,538 2DU
1496,RENAULT,Autre,1,830 BEP
1498,VOLKSWAGEN,Autre,0,RBA 151
1499,VOLKSWAGEN,Autre,1,16 82HB
1501,PEUGEOT,Autre,1,808 3XV
1503,VOLKSWAGEN,Autre,1,UKI 482
1508,FIAT,Autre,1,VVK 088
1508,MAZDA,Autre,1,AG 3138
1519,SAAB,Autre,0,XJ 2170
1519,RENAULT,Autre,0,OT5 56A
1528,MAZDA,Autre,0,ZRU92
1533,GM,Autre,0,858 UIW
1537,VOLKSWAGEN,Autre,0,082090
1546,VOLKSWAGEN,Rouge,0,QAM 366
1548,VOLKSWAGEN,Autre,0,VW2 67Y
1551,VOLKSWAGEN,Autre,0,R40 WZP
1555,AUDI,Autre,1,OR0 30E
1565,AUDI,Autre,0,L43 NXY
1566,PEUGEOT,Autre,1,BJ 3496
1577,VOLKSWAGEN,Autre,0,FEDJ 798
1585,MITSUBISHI,Autre,1,970 739
1585,HONDA,Autre,1,117781
1585,SAAB,Autre,1,IVRI 929
1600,HONDA,Autre,1,GVWB-738
1605,SEAT,Autre,1,X80 WAC
1608,HONDA,Autre,1,GVYY-152
1610,VOLKSWAGEN,Autre,0,ZV 2218
1614,RENAULT,Autre,1,GN 0394
1614,FIAT,Autre,1,HS 5561
1619,HONDA,Autre,1,KYE 636
1624,VOLKSWAGEN,Autre,0,IXC-7086
1627,VOLKSWAGEN,Autre,1,DR5 366
1630,HONDA,Autre,0,080 UKZ
1633,RENAULT,Autre,1,915 FBC
1645,RENAULT,Rouge,1,LA6 90C
1645,RENAULT,Rouge,0,ZGJ 735
1646,RENAULT,Autre,1,DXY-7832
1684,VOLKSWAGEN,Autre,1,CO 4836
1688,PORSCHE,Autre,1,464637
1692,BMW,Autre,1,FTR-7144
1692,FORD,Autre,0,VSQ66
1696,MERCEDES-B,Autre,0,VQE 442
1697,RENAULT,Autre,1,932 SJI
1698,RENAULT,Autre,1,796 8QP
1701,SAAB,Autre,0,FOR 595
1703,FIAT,Autre,1,446 8AY
1703,RENAULT,Autre,1,35 11UU
1706,NISSAN,Autre,1,OB 4473
1708,AUDI,Autre,0,140727
1714,TOYOTA,Autre,1,IWG-0169
1718,VOLKSWAGEN,Autre,1,HD 0942
1727,TOYOTA,Autre,1,887 378
1727,RENAULT,Autre,0,GVKF-074
1727,TOYOTA,Autre,0,UHJ82
1739,HONDA,Autre,1,DPL72
1775,GM,Autre,1,NAU 045
1775,MITSUBISHI,Autre,0,ODQ 607
1780,TOYOTA,Autre,1,533 0PN
1785,RENAULT,Autre,1,232 652
1789,FORD,Autre,1,010816
1799,HONDA,Autre,1,900 YKE
1799,VOLKSWAGEN,Autre,0,GVLJ-438
1803,NISSAN,Autre,1,AVC94
1803,NISSAN,Autre,0,KR 4433
1805,PEUGEOT,Autre,1,196 RRO
1838,HONDA,Autre,1,AF 2103
1843,HONDA,Autre,1,XQMG 536
1847,SEAT,Autre,1,898 3DS
1847,HONDA,Autre,0,195974
1849,RENAULT,Autre,0,BKF-5901
1851,VOLKSWAGEN,Autre,0,IKR 072
1851,PEUGEOT,Autre,0,PN7 19P
1855,PEUGEOT,Autre,1,DB2 683
1870,VOLKSWAGEN,Autre,0,LFK 510
1870,VOLKSWAGEN,Autre,1,XGG 122
1872,SUZUKI,Autre,1,FMJ 852
1879,FORD,Autre,1,WM 7880
1883,TOYOTA,Autre,1,242 071
1888,VOLVO,Autre,1,BSD 711
1893,RENAULT,Autre,1,VPMB 294
1906,BMW,Autre,1,19 95AZ
1906,BMW,Autre,0,KI0 140
1906,MERCEDES-B,Autre,1,81 97TP
1923,AUDI,Autre,0,073 YCC
1930,VOLKSWAGEN,Autre,1,DM 4895
1934,RENAULT,Autre,0,25 69SQ
1934,HONDA,Autre,0,57 15HX
1938,MERCEDES-B,Autre,1,83 94NM
1938,HONDA,Autre,1,ZPW 818
1938,AUDI,Autre,1,YKL 574
1969,BMW,Autre,1,VFA-6105
1975,FORD,Autre,0,NG4 126
1984,BMW,Autre,0,RN8 92I
1988,HONDA,Autre,1,QBQ 310
2000,MAZDA,Autre,1,795 ZNK
2000,MAZDA,Autre,0,450 MYQ
2001,RENAULT,Autre,0,59 82CB
2001,PEUGEOT,Autre,0,AL 4686
2002,VOLKSWAGEN,Autre,0,712 251
2025,BMW,Autre,0,599 ESD
2050,MERCEDES-B,Autre,1,717 RDY
2054,TOYOTA,Autre,1,76 24IW
2066,TOYOTA,Autre,1,OI 5227
2066,MAZDA,Autre,1,778 NAR
2068,RENAULT,Autre,1,AZQE 695
2068,RENAULT,Autre,0,786 CKD
2076,TOYOTA,Autre,1,985241
2076,SUBARU,Autre,1,009797
2077,VOLKSWAGEN,Autre,0,GVMH-826
2085,FORD,Autre,1,NA 3980
2106,MAZDA,Autre,0,GVQP-128
2106,PEUGEOT,Autre,0,YQL 653
2106,VOLKSWAGEN,Autre,0,DHFT 170
2106,VOLKSWAGEN,Autre,1,MQ 6780
2109,GM,Autre,1,JTB-9587
2112,HONDA,Autre,1,GCJ 886
2113,FORD,Autre,0,DG9 994
2113,PEUGEOT,Autre,1,MEH 198
2113,RENAULT,Autre,0,PWF19
2123,HONDA,Autre,1,24 93LB
2129,Autres,Autre,1,696269
2134,TOYOTA,Autre,1,JGG 866
2141,FIAT,Autre,1,40 88TM
2160,HONDA,Autre,0,QEY 936
2162,PEUGEOT,Autre,0,937 UZK
2165,FORD,Autre,0,DF5 577
2165,ALFA ROMEO,Autre,0,958057
2166,VOLKSWAGEN,Autre,1,291 379
2166,PEUGEOT,Autre,0,VYF 714
2168,VOLKSWAGEN,Autre,0,PK4 10Q
2168,RENAULT,Autre,0,AB7 43I
2169,ROVER,Autre,0,384 KSZ
2193,HONDA,Autre,1,KW5 353
2194,AUDI,Autre,0,ELS97
2198,HONDA,Autre,1,OT 3190
2198,NISSAN,Autre,0,SM4 88R
2211,VOLKSWAGEN,Autre,0,RH4 217
2215,DAIHATSU,Autre,0,208 YLL
2219,TOYOTA,Autre,1,REA 012
2229,HONDA,Autre,1,BUT 931
2231,VOLKSWAGEN,Autre,0,KUTR 178
2287,HONDA,Autre,0,059 924
2287,MITSUBISHI,Autre,1,767 FIF
2287,NISSAN,Autre,1,22 76SM
2287,HONDA,Autre,1,882 TLK
2319,HONDA,Autre,1,EXC 029
2319,MAZDA,Autre,0,LBF 746
2319,RENAULT,Autre,1,919196
2321,SEAT,Autre,1,HHNH 854
2326,GM,Autre,1,ZDO81
2333,FIAT,Autre,1,TAD 655
2339,TOYOTA,Autre,1,CEL 615
2348,PEUGEOT,Autre,0,GVIL-662
2348,ALFA ROMEO,Autre,0,97 57EK
2348,CHRYSLER,Autre,0,XTP 721
2360,TOYOTA,Autre,0,JCO-9847
2379,TOYOTA,Autre,1,58 16MU
2382,RENAULT,Autre,1,EVO 377
2413,HONDA,Autre,1,077335
2413,MITSUBISHI,Autre,0,F33 WUW
2417,VOLKSWAGEN,Autre,0,TYR 299
2429,FORD,Autre,1,258 YLK
2429,FORD,Autre,0,421 DES
2444,GM,Autre,1,ZGT 728
2450,FORD,Autre,1,GVWX-189
2458,MAZDA,Autre,0,659407
2459,PEUGEOT,Autre,0,49 93ZG
2467,TOYOTA,Autre,1,QN 6164
2476,ROVER,Autre,1,VGI 376
2477,VOLKSWAGEN,Autre,0,E81 JGO
2497,RENAULT,Autre,0,FN7 89M
2498,PEUGEOT,Autre,1,939 BQE
2500,VOLVO,Autre,1,WI5 24W
2500,VOLVO,Autre,0,BL 6411
2504,HONDA,Autre,0,416 ECZ
2514,GM,Autre,1,OI 7324
2516,PEUGEOT,Autre,0,MG 6406
2523,TOYOTA,Autre,1,FP 8571
2525,FIAT,Autre,1,LZL 900
2535,NISSAN,Autre,1,ZIH 090
2542,RENAULT,Autre,1,617 3QX
2542,RENAULT,Autre,0,327 IDC
2543,FORD,Autre,1,NP0 77U
2556,SUZUKI,Autre,0,240 2KR
2556,GM,Autre,0,HVZ 419
2568,PEUGEOT,Autre,1,875 YZL
2597,DAIHATSU,Autre,1,IP 5900
2608,NISSAN,Autre,1,IOWQ 696
2608,SEAT,Autre,1,OGF 638
2608,VOLKSWAGEN,Autre,0,NN1 60U
2615,GM,Autre,1,864 871
2619,MERCEDES-B,Autre,0,ZI6 68Y
2629,NISSAN,Autre,1,JNQT 147
2645,FIAT,Autre,1,CTI 505
2688,FORD,Autre,1,JI 0274
2688,GM,Autre,1,DUR92
2694,SAAB,Autre,0,144 0PH
2733,FIAT,Autre,1,FMU 133
2744,VOLKSWAGEN,Autre,1,IKA 018
2744,SKODA,Autre,0,XT1 75W
2746,MAZDA,Autre,1,083349
2750,VOLVO,Autre,0,YDL-1829
2752,NISSAN,Autre,1,LGT 336
2752,FORD,Autre,0,JRG62
2759,SUZUKI,Autre,1,719 535
2768,FIAT,Autre,1,JX 3487
2768,HYUNDAI,Autre,0,M07 UXS
2777,NISSAN,Autre,0,449 WGK
2780,HONDA,Autre,1,KGR-5080
2781,GM,Autre,0,RVI 619
2788,BMW,Autre,0,ARA73
2795,HONDA,Autre,0,298 831
2803,MAZDA,Autre,0,YIV 334
2803,RENAULT,Autre,0,NRO 707
2806,NISSAN,Autre,1,JWL 067
2845,HONDA,Autre,0,FQ 9974
2845,VOLKSWAGEN,Autre,0,YZ7 72I
2848,HONDA,Autre,1,WT9 35J
2848,MAZDA,Autre,1,GVAP-319
2850,TOYOTA,Autre,1,794046
2855,BMW,Autre,0,045695
2864,MITSUBISHI,Autre,1,162 WIN
2864,VOLKSWAGEN,Autre,1,92 80LU
2864,VOLKSWAGEN,Autre,0,HEV 521
2881,HONDA,Autre,1,814 403
2882,VOLKSWAGEN,Autre,0,TB 2869
2908,HONDA,Autre,1,JTW 516
2908,MERCEDES-B,Autre,1,PZO 150
2913,RENAULT,Autre,1,472 909
2913,RENAULT,Autre,0,256 3RD
2927,PEUGEOT,Autre,1,188081
2930,MERCEDES-B,Autre,0,RI 4655
2930,MITSUBISHI,Autre,0,AK 6030
2930,VOLKSWAGEN,Autre,0,SWO 597
2931,PEUGEOT,Autre,0,GVFY-440
2931,VOLKSWAGEN,Autre,0,828 471
2951,ROVER,Autre,0,291 AFG
2953,VOLKSWAGEN,Autre,1,196 377
2953,MERCEDES-B,Autre,0,19 21BN
2955,VOLKSWAGEN,Autre,1,WH4 933
2957,TOYOTA,Autre,1,241 AOW
2961,RENAULT,Autre,1,YZW 018
2963,RENAULT,Autre,1,153086
2963,PEUGEOT,Autre,1,LYA 910
2969,VOLKSWAGEN,Autre,1,247 VLK
2971,RENAULT,Autre,0,IKWY 877
2981,SEAT,Autre,0,BWE 268
